txn_id,user_id,amount,timestamp,merchant,sim_changed_recently,is_fraud
TXN_00000,U0197,176.5388691260048,2026-05-15 00:54:55.577088,eBay,False,False
TXN_00001,U0068,148.59110180858505,2026-05-19 10:54:55.577570,Target,False,False
TXN_00002,U0150,499.46214328237596,2026-05-13 06:54:55.577599,BestBuy,False,False
TXN_00003,U0038,273.9044830748981,2026-05-14 16:54:55.577613,Target,False,False
TXN_00004,U0085,383.80761203378984,2026-05-13 13:54:55.577620,BestBuy,False,False
TXN_00005,U0116,8826.415149106617,2026-05-16 00:54:55.577627,Walmart,False,True
TXN_00006,U0146,124.44559856836763,2026-05-15 08:54:55.577635,BestBuy,False,False
TXN_00007,U0011,7702.346364086763,2026-05-16 01:54:55.577641,BestBuy,False,True
TXN_00008,U0098,490.6008879432947,2026-05-12 12:54:55.577649,BestBuy,False,False
TXN_00009,U0009,256.1226635651533,2026-05-18 02:54:55.577656,eBay,False,False
TXN_00010,U0084,438.3532832866111,2026-05-18 09:54:55.577663,BestBuy,False,False
TXN_00011,U0025,456.11642207126886,2026-05-13 20:54:55.577669,Amazon,False,False
TXN_00012,U0184,210.88952367571855,2026-05-17 22:54:55.577676,Walmart,False,False
TXN_00013,U0019,392.9473927237822,2026-05-14 10:54:55.577683,Target,False,False
TXN_00014,U0086,349.4252533075722,2026-05-12 19:54:55.577693,Amazon,False,False
TXN_00015,U0084,196.204604786101,2026-05-13 18:54:55.577702,Target,False,False
TXN_00016,U0160,437.4676785252828,2026-05-14 06:54:55.577709,Amazon,False,False
TXN_00017,U0158,125.03741911999056,2026-05-18 17:54:55.577715,Target,False,False
TXN_00018,U0058,4905.743247308132,2026-05-18 11:54:55.577722,Amazon,True,True
TXN_00019,U0113,350.0605697686849,2026-05-17 16:54:55.577733,Amazon,False,False
TXN_00020,U0011,8165.291186459906,2026-05-15 23:54:55.577739,Target,True,True
TXN_00021,U0110,129.6567417701445,2026-05-17 21:54:55.577745,BestBuy,False,False
TXN_00022,U0144,93.29198804336771,2026-05-17 12:54:55.577751,Amazon,False,False
TXN_00023,U0156,313.6580805833335,2026-05-15 09:54:55.577758,Walmart,False,False
TXN_00024,U0127,80.12768286296973,2026-05-13 05:54:55.577765,BestBuy,False,False
TXN_00025,U0163,235.18954459659818,2026-05-16 17:54:55.577772,Amazon,False,False
TXN_00026,U0119,342.0293339925489,2026-05-16 09:54:55.577778,Walmart,False,False
TXN_00027,U0018,9507.120714411814,2026-05-14 17:54:55.577785,Target,False,True
TXN_00028,U0163,348.25362110546325,2026-05-14 22:54:55.577792,BestBuy,False,False
TXN_00029,U0077,499.6930470950878,2026-05-17 08:54:55.577807,BestBuy,False,False
TXN_00030,U0027,196.86850585223823,2026-05-16 22:54:55.577813,Target,False,False
TXN_00031,U0147,496.4191013771798,2026-05-16 07:54:55.577818,Target,False,False
TXN_00032,U0005,144.4953862873316,2026-05-15 05:54:55.577824,eBay,False,False
TXN_00033,U0175,456.20230732216817,2026-05-18 22:54:55.577830,BestBuy,False,False
TXN_00034,U0073,307.4618491004903,2026-05-17 00:54:55.577836,Target,False,False
TXN_00035,U0056,103.16467474577327,2026-05-12 16:54:55.577842,Target,False,False
TXN_00036,U0173,317.8415708065802,2026-05-17 23:54:55.577853,Amazon,False,False
TXN_00037,U0079,26.34862031035989,2026-05-14 18:54:55.577862,Target,False,False
TXN_00038,U0187,54.165354115647276,2026-05-18 01:54:55.577870,Target,False,False
TXN_00039,U0083,96.06363451771024,2026-05-15 00:54:55.577877,Walmart,False,False
TXN_00040,U0138,270.1176631143647,2026-05-15 13:54:55.577884,Target,False,False
TXN_00041,U0042,9226.440581844809,2026-05-16 17:54:55.577892,Target,False,True
TXN_00042,U0191,404.07394391621017,2026-05-15 20:54:55.577899,BestBuy,False,False
TXN_00043,U0019,379.53423160005434,2026-05-17 22:54:55.577906,Walmart,False,False
TXN_00044,U0173,483.96217617701586,2026-05-15 05:54:55.577912,eBay,False,False
TXN_00045,U0093,397.43416460857935,2026-05-18 11:54:55.577918,Amazon,False,False
TXN_00046,U0067,70.55848101411127,2026-05-13 17:54:55.577925,Target,False,False
TXN_00047,U0172,296.43444490956136,2026-05-16 15:54:55.577931,Target,False,False
TXN_00048,U0027,241.02366531090493,2026-05-16 23:54:55.577937,eBay,False,False
TXN_00049,U0143,458.47539528414814,2026-05-15 23:54:55.577944,Walmart,False,False
TXN_00050,U0165,321.34792196519015,2026-05-18 18:54:55.577950,BestBuy,False,False
TXN_00051,U0179,328.12732867944965,2026-05-16 05:54:55.577957,Amazon,False,False
TXN_00052,U0035,473.6681511121537,2026-05-18 23:54:55.577964,Target,False,False
TXN_00053,U0126,57.62407932469258,2026-05-18 05:54:55.577970,eBay,False,False
TXN_00054,U0034,232.28544087555736,2026-05-15 07:54:55.577981,eBay,False,False
TXN_00055,U0107,373.71181723500473,2026-05-13 04:54:55.577989,Walmart,False,False
TXN_00056,U0106,58.52060100815896,2026-05-12 11:54:55.577996,BestBuy,False,False
TXN_00057,U0157,470.1360021996911,2026-05-15 02:54:55.578002,Target,False,False
TXN_00058,U0008,116.46214550180518,2026-05-15 12:54:55.578008,BestBuy,False,False
TXN_00059,U0060,58.68376605700385,2026-05-15 14:54:55.578015,Target,False,False
